身份別	簡稱	年月日	多方未平倉口數	空方未平倉口數
COID	Name	MDATE	VOLUME	VOLUME2
12MTX  	投信－小型臺指期	20070702	       0	       2
12MTX  	投信－小型臺指期	20070703	       0	       2
12MTX  	投信－小型臺指期	20070704	       0	       2
12MTX  	投信－小型臺指期	20070705	       0	       2
12MTX  	投信－小型臺指期	20070706	       2	       2
12MTX  	投信－小型臺指期	20070709	       2	       2
12MTX  	投信－小型臺指期	20070710	       2	       2
12MTX  	投信－小型臺指期	20070711	       0	       0
12MTX  	投信－小型臺指期	20070712	       0	       0
12MTX  	投信－小型臺指期	20070713	       0	       0
12MTX  	投信－小型臺指期	20070716	       0	       0
12MTX  	投信－小型臺指期	20070717	       0	       0
12MTX  	投信－小型臺指期	20070718	       0	       0
12MTX  	投信－小型臺指期	20070719	       0	       0
12MTX  	投信－小型臺指期	20070720	       0	       0
12MTX  	投信－小型臺指期	20070723	       0	       0
12MTX  	投信－小型臺指期	20070724	       0	       0
12MTX  	投信－小型臺指期	20070725	       0	       0
12MTX  	投信－小型臺指期	20070726	       0	       0
12MTX  	投信－小型臺指期	20070727	       0	       0
12MTX  	投信－小型臺指期	20070730	       0	       0
12MTX  	投信－小型臺指期	20070731	       0	       0
12MTX  	投信－小型臺指期	20070801	       0	       0
12MTX  	投信－小型臺指期	20070802	       0	       0
12MTX  	投信－小型臺指期	20070803	       0	       0
12MTX  	投信－小型臺指期	20070806	       0	       0
12MTX  	投信－小型臺指期	20070807	       0	       0
12MTX  	投信－小型臺指期	20070808	       0	       0
12MTX  	投信－小型臺指期	20070809	       0	       0
12MTX  	投信－小型臺指期	20070810	       0	       0
12MTX  	投信－小型臺指期	20070813	       0	       0
12MTX  	投信－小型臺指期	20070814	       0	       0
12MTX  	投信－小型臺指期	20070815	       0	       0
12MTX  	投信－小型臺指期	20070816	       0	       0
12MTX  	投信－小型臺指期	20070817	       0	       0
12MTX  	投信－小型臺指期	20070820	       0	       0
12MTX  	投信－小型臺指期	20070821	       0	       0
12MTX  	投信－小型臺指期	20070822	       0	       0
12MTX  	投信－小型臺指期	20070823	       0	       0
12MTX  	投信－小型臺指期	20070824	       0	       0
12MTX  	投信－小型臺指期	20070827	       0	       0
12MTX  	投信－小型臺指期	20070828	       0	       0
12MTX  	投信－小型臺指期	20070829	       0	       0
12MTX  	投信－小型臺指期	20070830	       0	       0
12MTX  	投信－小型臺指期	20070831	       0	       0
12MTX  	投信－小型臺指期	20070903	       0	       0
12MTX  	投信－小型臺指期	20070904	       0	       0
12MTX  	投信－小型臺指期	20070905	       0	       0
12MTX  	投信－小型臺指期	20070906	       0	       0
12MTX  	投信－小型臺指期	20070907	       0	       0
12MTX  	投信－小型臺指期	20070910	       0	       0
12MTX  	投信－小型臺指期	20070911	       0	       0
12MTX  	投信－小型臺指期	20070912	       0	       0
12MTX  	投信－小型臺指期	20070913	       0	       0
12MTX  	投信－小型臺指期	20070914	       0	       0
12MTX  	投信－小型臺指期	20070917	       0	       0
12MTX  	投信－小型臺指期	20070919	       0	       0
12MTX  	投信－小型臺指期	20070920	       0	       0
12MTX  	投信－小型臺指期	20070921	       0	       0
12MTX  	投信－小型臺指期	20070926	       0	       0
12MTX  	投信－小型臺指期	20070927	       0	       0
12MTX  	投信－小型臺指期	20070928	       0	       0
12MTX  	投信－小型臺指期	20070929	       0	       0
12MTX  	投信－小型臺指期	20071001	       0	       0
12MTX  	投信－小型臺指期	20071002	       0	       0
12MTX  	投信－小型臺指期	20071003	       0	       0
12MTX  	投信－小型臺指期	20071004	       0	       0
12MTX  	投信－小型臺指期	20071005	       0	       0
12MTX  	投信－小型臺指期	20071008	       0	       0
12MTX  	投信－小型臺指期	20071009	       0	       0
12MTX  	投信－小型臺指期	20071011	       0	       0
12MTX  	投信－小型臺指期	20071012	       0	       0
12MTX  	投信－小型臺指期	20071015	       0	       0
12MTX  	投信－小型臺指期	20071016	       0	       0
12MTX  	投信－小型臺指期	20071017	       0	       0
12MTX  	投信－小型臺指期	20071018	       0	       0
12MTX  	投信－小型臺指期	20071019	       0	       0
12MTX  	投信－小型臺指期	20071022	       0	       0
12MTX  	投信－小型臺指期	20071023	       0	       0
12MTX  	投信－小型臺指期	20071024	       0	       0
12MTX  	投信－小型臺指期	20071025	       0	       0
12MTX  	投信－小型臺指期	20071026	       0	       0
12MTX  	投信－小型臺指期	20071029	       0	       0
12MTX  	投信－小型臺指期	20071030	       0	       0
12MTX  	投信－小型臺指期	20071031	       0	       0
12MTX  	投信－小型臺指期	20071101	       0	       0
12MTX  	投信－小型臺指期	20071102	       0	       0
12MTX  	投信－小型臺指期	20071105	       0	       0
12MTX  	投信－小型臺指期	20071106	       0	       0
12MTX  	投信－小型臺指期	20071107	       0	       0
12MTX  	投信－小型臺指期	20071108	       0	       0
12MTX  	投信－小型臺指期	20071109	       0	       0
12MTX  	投信－小型臺指期	20071112	       0	       0
12MTX  	投信－小型臺指期	20071113	       0	       0
12MTX  	投信－小型臺指期	20071114	       0	       0
12MTX  	投信－小型臺指期	20071115	       0	       0
12MTX  	投信－小型臺指期	20071116	       0	       0
12MTX  	投信－小型臺指期	20071119	       0	       0
12MTX  	投信－小型臺指期	20071120	       0	       0
12MTX  	投信－小型臺指期	20071121	       0	       0
12MTX  	投信－小型臺指期	20071122	       0	       0
12MTX  	投信－小型臺指期	20071123	       0	       0
12MTX  	投信－小型臺指期	20071126	       0	       0
12MTX  	投信－小型臺指期	20071127	       0	       0
12MTX  	投信－小型臺指期	20071128	       0	       0
12MTX  	投信－小型臺指期	20071129	       0	       0
12MTX  	投信－小型臺指期	20071130	       0	       0
12MTX  	投信－小型臺指期	20071203	       0	       0
12MTX  	投信－小型臺指期	20071204	       0	       0
12MTX  	投信－小型臺指期	20071205	       0	       0
12MTX  	投信－小型臺指期	20071206	       0	       0
12MTX  	投信－小型臺指期	20071207	       0	       0
12MTX  	投信－小型臺指期	20071210	       0	       0
12MTX  	投信－小型臺指期	20071211	       0	       0
12MTX  	投信－小型臺指期	20071212	       0	       0
12MTX  	投信－小型臺指期	20071213	       0	       0
12MTX  	投信－小型臺指期	20071214	       0	       0
12MTX  	投信－小型臺指期	20071217	       0	       0
12MTX  	投信－小型臺指期	20071218	       0	       0
12MTX  	投信－小型臺指期	20071219	       0	       0
12MTX  	投信－小型臺指期	20071220	       0	       0
12MTX  	投信－小型臺指期	20071221	       0	       0
12MTX  	投信－小型臺指期	20071224	       0	       0
12MTX  	投信－小型臺指期	20071225	       0	       0
12MTX  	投信－小型臺指期	20071226	       0	       0
12MTX  	投信－小型臺指期	20071227	       0	       0
12MTX  	投信－小型臺指期	20071228	       0	       0
12MTX  	投信－小型臺指期	20071231	       0	       0
12MTX  	投信－小型臺指期	20080102	       0	       0
12MTX  	投信－小型臺指期	20080103	       0	       0
12MTX  	投信－小型臺指期	20080104	       0	       0
12MTX  	投信－小型臺指期	20080107	       0	       0
12MTX  	投信－小型臺指期	20080108	       0	       0
12MTX  	投信－小型臺指期	20080109	       0	       0
12MTX  	投信－小型臺指期	20080110	       0	       0
12MTX  	投信－小型臺指期	20080111	       0	       0
12MTX  	投信－小型臺指期	20080114	       0	       0
12MTX  	投信－小型臺指期	20080115	       0	       0
12MTX  	投信－小型臺指期	20080116	       0	       0
12MTX  	投信－小型臺指期	20080117	       0	       0
12MTX  	投信－小型臺指期	20080118	       0	       0
12MTX  	投信－小型臺指期	20080121	       0	       0
12MTX  	投信－小型臺指期	20080122	       0	       0
12MTX  	投信－小型臺指期	20080123	       0	       0
12MTX  	投信－小型臺指期	20080124	       0	       0
12MTX  	投信－小型臺指期	20080125	       0	       0
12MTX  	投信－小型臺指期	20080128	       0	       0
12MTX  	投信－小型臺指期	20080129	       0	       0
12MTX  	投信－小型臺指期	20080130	       0	       0
12MTX  	投信－小型臺指期	20080131	       0	       0
12MTX  	投信－小型臺指期	20080201	       0	       0
12MTX  	投信－小型臺指期	20080212	       0	       0
12MTX  	投信－小型臺指期	20080213	       0	       0
12MTX  	投信－小型臺指期	20080214	       0	       0
12MTX  	投信－小型臺指期	20080215	       0	       0
12MTX  	投信－小型臺指期	20080218	       0	       0
12MTX  	投信－小型臺指期	20080219	       0	       0
12MTX  	投信－小型臺指期	20080220	       1	       0
12MTX  	投信－小型臺指期	20080221	       0	       0
12MTX  	投信－小型臺指期	20080222	       0	       0
12MTX  	投信－小型臺指期	20080225	       0	       0
12MTX  	投信－小型臺指期	20080226	       2	       0
12MTX  	投信－小型臺指期	20080227	       2	       0
12MTX  	投信－小型臺指期	20080229	       2	       0
12MTX  	投信－小型臺指期	20080303	       2	       0
12MTX  	投信－小型臺指期	20080304	       0	       5
12MTX  	投信－小型臺指期	20080305	       0	       5
12MTX  	投信－小型臺指期	20080306	       0	      11
12MTX  	投信－小型臺指期	20080307	       0	      11
12MTX  	投信－小型臺指期	20080310	       0	      11
12MTX  	投信－小型臺指期	20080311	       0	      11
12MTX  	投信－小型臺指期	20080312	       0	      11
12MTX  	投信－小型臺指期	20080313	       0	      11
12MTX  	投信－小型臺指期	20080314	       0	      11
12MTX  	投信－小型臺指期	20080317	       0	      11
12MTX  	投信－小型臺指期	20080318	       0	      11
12MTX  	投信－小型臺指期	20080319	       0	      16
12MTX  	投信－小型臺指期	20080320	       0	      44
12MTX  	投信－小型臺指期	20080321	       0	      49
12MTX  	投信－小型臺指期	20080324	       0	      49
12MTX  	投信－小型臺指期	20080325	       0	      49
12MTX  	投信－小型臺指期	20080326	       0	      27
12MTX  	投信－小型臺指期	20080327	       0	      27
12MTX  	投信－小型臺指期	20080328	       0	      21
12MTX  	投信－小型臺指期	20080331	       0	      12
12MTX  	投信－小型臺指期	20080401	       0	       8
12MTX  	投信－小型臺指期	20080402	       0	      12
12MTX  	投信－小型臺指期	20080403	       0	      12
12MTX  	投信－小型臺指期	20080407	       0	      12
12MTX  	投信－小型臺指期	20080408	       0	       7
12MTX  	投信－小型臺指期	20080409	       0	       7
12MTX  	投信－小型臺指期	20080410	       0	       7
12MTX  	投信－小型臺指期	20080411	       0	      17
12MTX  	投信－小型臺指期	20080414	       0	      11
12MTX  	投信－小型臺指期	20080415	       0	      11
12MTX  	投信－小型臺指期	20080416	       0	      11
12MTX  	投信－小型臺指期	20080417	       0	       5
12MTX  	投信－小型臺指期	20080418	       0	      10
12MTX  	投信－小型臺指期	20080421	       0	      15
12MTX  	投信－小型臺指期	20080422	       0	      12
12MTX  	投信－小型臺指期	20080423	       0	      15
12MTX  	投信－小型臺指期	20080424	       0	      15
12MTX  	投信－小型臺指期	20080425	       0	       9
12MTX  	投信－小型臺指期	20080428	       0	      12
12MTX  	投信－小型臺指期	20080429	       0	      12
12MTX  	投信－小型臺指期	20080430	       0	       9
12MTX  	投信－小型臺指期	20080502	       0	       9
12MTX  	投信－小型臺指期	20080505	       0	       9
12MTX  	投信－小型臺指期	20080506	       0	       7
12MTX  	投信－小型臺指期	20080507	       0	      12
12MTX  	投信－小型臺指期	20080508	       0	      12
12MTX  	投信－小型臺指期	20080509	       0	       9
12MTX  	投信－小型臺指期	20080512	       0	       9
12MTX  	投信－小型臺指期	20080513	       0	       9
12MTX  	投信－小型臺指期	20080514	       0	       9
12MTX  	投信－小型臺指期	20080515	       0	       9
12MTX  	投信－小型臺指期	20080516	       0	       9
12MTX  	投信－小型臺指期	20080519	       0	       9
12MTX  	投信－小型臺指期	20080520	       0	       8
12MTX  	投信－小型臺指期	20080521	       0	       8
12MTX  	投信－小型臺指期	20080522	       0	       7
12MTX  	投信－小型臺指期	20080523	       0	       7
12MTX  	投信－小型臺指期	20080526	       0	      12
12MTX  	投信－小型臺指期	20080527	       0	       7
12MTX  	投信－小型臺指期	20080528	       0	       7
12MTX  	投信－小型臺指期	20080529	       0	       9
12MTX  	投信－小型臺指期	20080530	       0	       9
12MTX  	投信－小型臺指期	20080602	       0	       9
12MTX  	投信－小型臺指期	20080603	       0	       9
12MTX  	投信－小型臺指期	20080604	       0	       9
12MTX  	投信－小型臺指期	20080605	       0	       9
12MTX  	投信－小型臺指期	20080606	       0	       9
12MTX  	投信－小型臺指期	20080609	       0	      17
12MTX  	投信－小型臺指期	20080610	       0	      19
12MTX  	投信－小型臺指期	20080611	       0	      19
12MTX  	投信－小型臺指期	20080612	       0	      19
12MTX  	投信－小型臺指期	20080613	       0	      19
12MTX  	投信－小型臺指期	20080616	       0	      19
12MTX  	投信－小型臺指期	20080617	       0	      19
12MTX  	投信－小型臺指期	20080618	       0	      19
12MTX  	投信－小型臺指期	20080619	       0	      13
12MTX  	投信－小型臺指期	20080620	       0	      13
12MTX  	投信－小型臺指期	20080623	       0	      13
12MTX  	投信－小型臺指期	20080624	       0	      13
12MTX  	投信－小型臺指期	20080625	       0	      13
12MTX  	投信－小型臺指期	20080626	       0	      13
12MTX  	投信－小型臺指期	20080627	       0	      13
12MTX  	投信－小型臺指期	20080630	       0	      13
12MTX  	投信－小型臺指期	20080701	       0	      13
12MTX  	投信－小型臺指期	20080702	       0	      13
12MTX  	投信－小型臺指期	20080703	       0	      13
12MTX  	投信－小型臺指期	20080704	       0	      13
12MTX  	投信－小型臺指期	20080707	       0	      13
12MTX  	投信－小型臺指期	20080708	       0	      13
12MTX  	投信－小型臺指期	20080709	       0	      13
12MTX  	投信－小型臺指期	20080710	       0	      13
12MTX  	投信－小型臺指期	20080711	       0	      13
12MTX  	投信－小型臺指期	20080714	       0	      13
12MTX  	投信－小型臺指期	20080715	       0	      13
12MTX  	投信－小型臺指期	20080716	       0	       3
12MTX  	投信－小型臺指期	20080717	       0	       3
12MTX  	投信－小型臺指期	20080718	       0	      53
12MTX  	投信－小型臺指期	20080721	       0	       3
12MTX  	投信－小型臺指期	20080722	       0	     113
12MTX  	投信－小型臺指期	20080723	       0	       3
12MTX  	投信－小型臺指期	20080724	       0	     131
12MTX  	投信－小型臺指期	20080725	       0	       3
12MTX  	投信－小型臺指期	20080729	       0	     180
12MTX  	投信－小型臺指期	20080730	       0	       3
12MTX  	投信－小型臺指期	20080731	       0	       3
12MTX  	投信－小型臺指期	20080801	       0	     118
12MTX  	投信－小型臺指期	20080804	       0	       3
12MTX  	投信－小型臺指期	20080805	       0	     203
12MTX  	投信－小型臺指期	20080806	       0	       3
12MTX  	投信－小型臺指期	20080807	       0	     151
12MTX  	投信－小型臺指期	20080808	       0	       3
12MTX  	投信－小型臺指期	20080811	       1	       3
12MTX  	投信－小型臺指期	20080812	       2	       3
12MTX  	投信－小型臺指期	20080813	       2	       3
12MTX  	投信－小型臺指期	20080814	       2	      63
12MTX  	投信－小型臺指期	20080815	       2	       3
12MTX  	投信－小型臺指期	20080818	       2	      53
12MTX  	投信－小型臺指期	20080819	       2	       3
12MTX  	投信－小型臺指期	20080820	       2	     145
12MTX  	投信－小型臺指期	20080821	       2	       3
12MTX  	投信－小型臺指期	20080822	       2	      93
12MTX  	投信－小型臺指期	20080825	       2	       3
12MTX  	投信－小型臺指期	20080826	       2	       3
12MTX  	投信－小型臺指期	20080827	       2	       3
12MTX  	投信－小型臺指期	20080828	       2	       3
12MTX  	投信－小型臺指期	20080829	       2	       3
12MTX  	投信－小型臺指期	20080901	       2	       3
12MTX  	投信－小型臺指期	20080902	       2	       3
12MTX  	投信－小型臺指期	20080903	       2	       3
12MTX  	投信－小型臺指期	20080904	       1	       3
12MTX  	投信－小型臺指期	20080905	       0	       3
12MTX  	投信－小型臺指期	20080908	       0	       3
12MTX  	投信－小型臺指期	20080909	       0	       3
12MTX  	投信－小型臺指期	20080910	       0	       3
12MTX  	投信－小型臺指期	20080911	       0	       3
12MTX  	投信－小型臺指期	20080912	       0	       3
12MTX  	投信－小型臺指期	20080915	       0	       3
12MTX  	投信－小型臺指期	20080916	       0	       3
12MTX  	投信－小型臺指期	20080917	       0	       3
12MTX  	投信－小型臺指期	20080918	       0	       0
12MTX  	投信－小型臺指期	20080919	       0	       3
12MTX  	投信－小型臺指期	20080922	       0	       3
12MTX  	投信－小型臺指期	20080923	       0	       3
12MTX  	投信－小型臺指期	20080924	       0	       3
12MTX  	投信－小型臺指期	20080925	       0	       3
12MTX  	投信－小型臺指期	20080926	       0	       3
12MTX  	投信－小型臺指期	20080930	       0	       3
12MTX  	投信－小型臺指期	20081001	       0	       3
12MTX  	投信－小型臺指期	20081002	       0	       3
12MTX  	投信－小型臺指期	20081003	       0	       3
12MTX  	投信－小型臺指期	20081006	       0	       3
12MTX  	投信－小型臺指期	20081007	       0	       3
12MTX  	投信－小型臺指期	20081008	       0	       3
12MTX  	投信－小型臺指期	20081009	       0	       3
12MTX  	投信－小型臺指期	20081013	       0	       3
12MTX  	投信－小型臺指期	20081014	       0	       6
12MTX  	投信－小型臺指期	20081015	       0	       3
12MTX  	投信－小型臺指期	20081016	       0	       3
12MTX  	投信－小型臺指期	20081017	       0	       3
12MTX  	投信－小型臺指期	20081020	       0	       3
12MTX  	投信－小型臺指期	20081021	       0	       3
12MTX  	投信－小型臺指期	20081022	       0	       3
12MTX  	投信－小型臺指期	20081023	       0	       3
12MTX  	投信－小型臺指期	20081024	       0	       3
12MTX  	投信－小型臺指期	20081027	       0	       3
12MTX  	投信－小型臺指期	20081028	       0	       3
12MTX  	投信－小型臺指期	20081029	       0	       3
12MTX  	投信－小型臺指期	20081030	       0	       3
12MTX  	投信－小型臺指期	20081031	       0	       3
12MTX  	投信－小型臺指期	20081103	       0	       3
12MTX  	投信－小型臺指期	20081104	       0	       3
12MTX  	投信－小型臺指期	20081105	       0	       0
12MTX  	投信－小型臺指期	20081106	       0	       0
12MTX  	投信－小型臺指期	20081107	       0	       0
12MTX  	投信－小型臺指期	20081110	       0	       0
12MTX  	投信－小型臺指期	20081111	       0	       0
12MTX  	投信－小型臺指期	20081112	       0	       0
12MTX  	投信－小型臺指期	20081113	       0	       0
12MTX  	投信－小型臺指期	20081114	       0	       0
12MTX  	投信－小型臺指期	20081117	       0	       0
12MTX  	投信－小型臺指期	20081118	       0	       0
12MTX  	投信－小型臺指期	20081119	       0	       0
12MTX  	投信－小型臺指期	20081120	       0	       0
12MTX  	投信－小型臺指期	20081121	       0	       0
12MTX  	投信－小型臺指期	20081124	       0	       0
12MTX  	投信－小型臺指期	20081125	       0	       0
12MTX  	投信－小型臺指期	20081126	       0	       0
12MTX  	投信－小型臺指期	20081127	       0	       0
12MTX  	投信－小型臺指期	20081128	       0	       0
12MTX  	投信－小型臺指期	20081201	       0	      92
12MTX  	投信－小型臺指期	20081202	       0	      92
12MTX  	投信－小型臺指期	20081203	       0	      92
12MTX  	投信－小型臺指期	20081204	       1	      92
12MTX  	投信－小型臺指期	20081205	       1	      92
12MTX  	投信－小型臺指期	20081208	       0	      92
12MTX  	投信－小型臺指期	20081209	       0	       0
12MTX  	投信－小型臺指期	20081210	       0	       0
12MTX  	投信－小型臺指期	20081211	       0	       0
12MTX  	投信－小型臺指期	20081212	       1	       0
12MTX  	投信－小型臺指期	20081215	       1	       0
12MTX  	投信－小型臺指期	20081216	       0	       0
12MTX  	投信－小型臺指期	20081217	       0	       0
12MTX  	投信－小型臺指期	20081218	       0	       0
12MTX  	投信－小型臺指期	20081219	       0	       0
12MTX  	投信－小型臺指期	20081222	       0	      92
12MTX  	投信－小型臺指期	20081223	       0	      92
12MTX  	投信－小型臺指期	20081224	       0	      92
12MTX  	投信－小型臺指期	20081225	       0	      92
12MTX  	投信－小型臺指期	20081226	       0	      92
12MTX  	投信－小型臺指期	20081229	       0	      92
12MTX  	投信－小型臺指期	20081230	       0	      92
12MTX  	投信－小型臺指期	20081231	       0	       0
12MTX  	投信－小型臺指期	20090105	       0	       0
12MTX  	投信－小型臺指期	20090106	       0	       0
12MTX  	投信－小型臺指期	20090107	       0	       0
12MTX  	投信－小型臺指期	20090108	       0	       0
12MTX  	投信－小型臺指期	20090109	       0	       0
12MTX  	投信－小型臺指期	20090110	       0	       0
12MTX  	投信－小型臺指期	20090112	       0	       0
12MTX  	投信－小型臺指期	20090113	       0	       0
12MTX  	投信－小型臺指期	20090114	       0	       0
12MTX  	投信－小型臺指期	20090115	       2	       0
12MTX  	投信－小型臺指期	20090116	       2	       0
12MTX  	投信－小型臺指期	20090117	       2	       0
12MTX  	投信－小型臺指期	20090119	       2	       0
12MTX  	投信－小型臺指期	20090120	       2	       0
12MTX  	投信－小型臺指期	20090121	       0	       0
12MTX  	投信－小型臺指期	20090202	       0	       0
12MTX  	投信－小型臺指期	20090203	       0	       0
12MTX  	投信－小型臺指期	20090204	       0	       0
12MTX  	投信－小型臺指期	20090205	       0	       0
12MTX  	投信－小型臺指期	20090206	       0	       0
12MTX  	投信－小型臺指期	20090209	       0	       0
12MTX  	投信－小型臺指期	20090210	       0	       0
12MTX  	投信－小型臺指期	20090211	       0	       0
12MTX  	投信－小型臺指期	20090212	       0	       0
12MTX  	投信－小型臺指期	20090213	       0	       0
12MTX  	投信－小型臺指期	20090216	       0	       0
12MTX  	投信－小型臺指期	20090217	       0	       0
12MTX  	投信－小型臺指期	20090218	       0	       0
12MTX  	投信－小型臺指期	20090219	       0	       0
12MTX  	投信－小型臺指期	20090220	       0	       0
12MTX  	投信－小型臺指期	20090223	       0	       0
12MTX  	投信－小型臺指期	20090224	       0	       0
12MTX  	投信－小型臺指期	20090225	       0	       0
12MTX  	投信－小型臺指期	20090226	       0	       0
12MTX  	投信－小型臺指期	20090227	       0	       0
12MTX  	投信－小型臺指期	20090302	       0	       0
12MTX  	投信－小型臺指期	20090303	       0	       0
12MTX  	投信－小型臺指期	20090304	       0	       0
12MTX  	投信－小型臺指期	20090305	       0	       0
12MTX  	投信－小型臺指期	20090306	       0	       0
12MTX  	投信－小型臺指期	20090309	       0	       0
12MTX  	投信－小型臺指期	20090310	       0	       0
12MTX  	投信－小型臺指期	20090311	       0	       0
12MTX  	投信－小型臺指期	20090312	       0	       0
12MTX  	投信－小型臺指期	20090313	       0	       0
12MTX  	投信－小型臺指期	20090316	       0	       0
12MTX  	投信－小型臺指期	20090317	       0	       0
12MTX  	投信－小型臺指期	20090318	       0	       0
12MTX  	投信－小型臺指期	20090319	       0	       0
12MTX  	投信－小型臺指期	20090320	       0	       5
12MTX  	投信－小型臺指期	20090323	       0	       9
12MTX  	投信－小型臺指期	20090324	       0	      17
12MTX  	投信－小型臺指期	20090325	       0	      17
12MTX  	投信－小型臺指期	20090326	       0	       1
12MTX  	投信－小型臺指期	20090327	       0	      11
12MTX  	投信－小型臺指期	20090330	       0	      10
12MTX  	投信－小型臺指期	20090331	       0	      17
12MTX  	投信－小型臺指期	20090401	       0	       3
12MTX  	投信－小型臺指期	20090402	      23	       0
12MTX  	投信－小型臺指期	20090403	      23	       0
12MTX  	投信－小型臺指期	20090406	       0	       5
12MTX  	投信－小型臺指期	20090407	       1	       0
12MTX  	投信－小型臺指期	20090408	       0	      24
12MTX  	投信－小型臺指期	20090409	      20	       0
12MTX  	投信－小型臺指期	20090410	      47	       0
12MTX  	投信－小型臺指期	20090413	      47	       0
12MTX  	投信－小型臺指期	20090414	       0	       0
12MTX  	投信－小型臺指期	20090415	       0	       0
12MTX  	投信－小型臺指期	20090416	       0	       4
12MTX  	投信－小型臺指期	20090417	       0	      37
12MTX  	投信－小型臺指期	20090420	       0	       0
12MTX  	投信－小型臺指期	20090421	       0	       0
12MTX  	投信－小型臺指期	20090422	       0	       0
12MTX  	投信－小型臺指期	20090423	       0	       0
12MTX  	投信－小型臺指期	20090424	       0	       0
12MTX  	投信－小型臺指期	20090427	      19	       0
12MTX  	投信－小型臺指期	20090428	       0	       3
12MTX  	投信－小型臺指期	20090429	       0	       1
12MTX  	投信－小型臺指期	20090430	       0	       1
12MTX  	投信－小型臺指期	20090504	       0	       1
12MTX  	投信－小型臺指期	20090505	       0	       0
12MTX  	投信－小型臺指期	20090506	       0	       0
12MTX  	投信－小型臺指期	20090507	       0	       0
12MTX  	投信－小型臺指期	20090508	       0	       0
12MTX  	投信－小型臺指期	20090511	       0	       0
12MTX  	投信－小型臺指期	20090512	       0	       0
12MTX  	投信－小型臺指期	20090513	       0	       0
12MTX  	投信－小型臺指期	20090514	       0	       0
12MTX  	投信－小型臺指期	20090515	       0	       0
12MTX  	投信－小型臺指期	20090518	       0	       0
12MTX  	投信－小型臺指期	20090519	       0	       0
12MTX  	投信－小型臺指期	20090520	       0	       0
12MTX  	投信－小型臺指期	20090521	       0	       0
12MTX  	投信－小型臺指期	20090522	       0	       0
12MTX  	投信－小型臺指期	20090525	       0	       2
12MTX  	投信－小型臺指期	20090526	       0	       0
12MTX  	投信－小型臺指期	20090527	      16	       0
12MTX  	投信－小型臺指期	20090601	      16	       0
12MTX  	投信－小型臺指期	20090602	      16	      17
12MTX  	投信－小型臺指期	20090603	      16	      17
12MTX  	投信－小型臺指期	20090604	      16	      12
12MTX  	投信－小型臺指期	20090605	      16	       0
12MTX  	投信－小型臺指期	20090606	      16	       0
12MTX  	投信－小型臺指期	20090608	      16	       0
12MTX  	投信－小型臺指期	20090609	       0	       0
12MTX  	投信－小型臺指期	20090610	       0	       0
12MTX  	投信－小型臺指期	20090611	       0	       0
12MTX  	投信－小型臺指期	20090612	       0	       0
12MTX  	投信－小型臺指期	20090615	       0	       0
12MTX  	投信－小型臺指期	20090616	       0	       0
12MTX  	投信－小型臺指期	20090617	       0	       0
12MTX  	投信－小型臺指期	20090618	       0	       0
12MTX  	投信－小型臺指期	20090619	       0	       0
12MTX  	投信－小型臺指期	20090622	       0	       0
12MTX  	投信－小型臺指期	20090623	       0	       0
12MTX  	投信－小型臺指期	20090624	       0	       0
12MTX  	投信－小型臺指期	20090625	       0	       0
12MTX  	投信－小型臺指期	20090626	       0	       0
12MTX  	投信－小型臺指期	20090629	       0	       0
12MTX  	投信－小型臺指期	20090630	       0	       0
12MTX  	投信－小型臺指期	20090701	       0	       0
12MTX  	投信－小型臺指期	20090702	       0	       0
12MTX  	投信－小型臺指期	20090703	       0	       0
12MTX  	投信－小型臺指期	20090706	       0	       0
12MTX  	投信－小型臺指期	20090707	       0	       3
12MTX  	投信－小型臺指期	20090708	       0	       3
12MTX  	投信－小型臺指期	20090709	       0	       3
12MTX  	投信－小型臺指期	20090710	       0	       3
12MTX  	投信－小型臺指期	20090713	       0	       3
12MTX  	投信－小型臺指期	20090714	       0	       3
12MTX  	投信－小型臺指期	20090715	       0	       0
12MTX  	投信－小型臺指期	20090716	       0	       0
12MTX  	投信－小型臺指期	20090717	       0	       0
12MTX  	投信－小型臺指期	20090720	       0	       0
12MTX  	投信－小型臺指期	20090721	       0	       0
12MTX  	投信－小型臺指期	20090722	       0	       0
12MTX  	投信－小型臺指期	20090723	       0	       0
12MTX  	投信－小型臺指期	20090724	       0	       0
12MTX  	投信－小型臺指期	20090727	       0	       0
12MTX  	投信－小型臺指期	20090728	       0	       0
12MTX  	投信－小型臺指期	20090729	       0	       0
12MTX  	投信－小型臺指期	20090730	       0	       0
12MTX  	投信－小型臺指期	20090731	       0	       0
12MTX  	投信－小型臺指期	20090803	       0	       0
12MTX  	投信－小型臺指期	20090804	       0	       0
12MTX  	投信－小型臺指期	20090805	       0	       0
12MTX  	投信－小型臺指期	20090806	       0	       0
12MTX  	投信－小型臺指期	20090810	       0	       0
12MTX  	投信－小型臺指期	20090811	       0	       0
12MTX  	投信－小型臺指期	20090812	       0	       0
12MTX  	投信－小型臺指期	20090813	       0	       0
12MTX  	投信－小型臺指期	20090814	       0	       0
12MTX  	投信－小型臺指期	20090817	       0	       0
12MTX  	投信－小型臺指期	20090818	       0	       0
12MTX  	投信－小型臺指期	20090819	       0	       0
12MTX  	投信－小型臺指期	20090820	       0	       0
12MTX  	投信－小型臺指期	20090821	       0	       0
12MTX  	投信－小型臺指期	20090824	       0	       0
12MTX  	投信－小型臺指期	20090825	       0	       0
